id,name,rating,street_name,creation_date
1,Hills Group,4,2,1/2/2012
2,Kihn and Sons,2,144,5/9/2014
3,Jakubowski-Nikolaus,3,16,9/11/2005
4,Mayer-Mosciski,4,10,3/23/2002
5,Bechtelar and Sons,4,66,5/7/2013
6,Weissnat-Gulgowski,5,2,10/1/2014
7,"Altenwerth, Koelpin and Howe",5,979,3/17/2002
8,Frami-Kozey,3,3129,11/30/2003
9,"Jaskolski, Crooks and Lesch",4,150,6/5/2003
10,Zieme-Skiles,2,83,3/4/2003
11,"Mueller, Wintheiser and Wintheiser",3,41,5/2/2000
12,Collins Group,5,9531,6/5/2007
13,Sauer-Quigley,4,3333,1/9/2014
14,Durgan-Crooks,3,24428,1/28/2010
15,Lubowitz-Bins,2,964,6/8/2016
16,Hyatt and Sons,3,538,8/12/2018
17,Dare Group,5,80663,6/16/2006
18,Roberts-Jacobson,4,1,5/29/2016
19,Roberts-Kulas,2,4927,7/2/2003
20,Breitenberg-Kemmer,3,2,8/28/2007
21,"Koss, Cormier and Satterfield",4,994,9/21/2017
22,Kling Inc,3,5,3/29/2008
23,Wisozk LLC,5,63,5/30/2015
24,"Schuppe, Wisozk and Erdman",3,343,5/4/2010
25,"Rau, Howell and Barrows",3,6759,11/4/2014
